stim1,stim2,RT,correct,condition,Association,TaskType
diamond,triangle,465,1,pair,youneutral,RG_incongruent
diamond,,417,1,single,neutral,RG_incongruent
rhomboid,,364,1,single,friend,RG_incongruent
triangle,,332,1,single,you,RG_incongruent
rhomboid,,297,1,single,friend,RG_incongruent
triangle,,297,1,single,you,RG_incongruent
octagon,,281,1,single,happy,RG_incongruent
triangle,,411,1,single,you,RG_incongruent
octagon,rhomboid,524,1,pair,friendhappy,RG_incongruent
octagon,,392,1,single,happy,RG_incongruent
octagon,rhomboid,482,0,pair,friendhappy,RG_incongruent
diamond,,353,1,single,neutral,RG_incongruent
diamond,triangle,541,1,pair,youneutral,RG_incongruent
triangle,,386,0,single,you,RG_incongruent
rhomboid,octagon,461,1,pair,friendhappy,RG_incongruent
rhomboid,,555,1,single,friend,RG_incongruent
diamond,triangle,410,1,pair,youneutral,RG_incongruent
octagon,rhomboid,477,1,pair,friendhappy,RG_incongruent
triangle,,305,1,single,you,RG_incongruent
diamond,,408,1,single,neutral,RG_incongruent
rhomboid,,367,1,single,friend,RG_incongruent
octagon,rhomboid,405,1,pair,friendhappy,RG_incongruent
triangle,,294,0,single,you,RG_incongruent
triangle,diamond,553,0,pair,youneutral,RG_incongruent
rhomboid,octagon,214,0,pair,friendhappy,RG_incongruent
octagon,,430,1,single,happy,RG_incongruent
diamond,,368,1,single,neutral,RG_incongruent
octagon,,559,1,single,happy,RG_incongruent
rhomboid,octagon,751,1,pair,friendhappy,RG_incongruent
rhomboid,,599,1,single,friend,RG_incongruent
octagon,rhomboid,493,1,pair,friendhappy,RG_incongruent
octagon,,316,1,single,happy,RG_incongruent
triangle,,342,1,single,you,RG_incongruent
rhomboid,,263,1,single,friend,RG_incongruent
triangle,diamond,364,1,pair,youneutral,RG_incongruent
diamond,,401,1,single,neutral,RG_incongruent
diamond,,358,1,single,neutral,RG_incongruent
rhomboid,,416,1,single,friend,RG_incongruent
diamond,triangle,458,1,pair,youneutral,RG_incongruent
diamond,,915,1,single,neutral,RG_incongruent
rhomboid,,512,1,single,friend,RG_incongruent
octagon,,485,1,single,happy,RG_incongruent
rhomboid,,450,1,single,friend,RG_incongruent
triangle,,315,1,single,you,RG_incongruent
diamond,,402,1,single,neutral,RG_incongruent
diamond,triangle,261,1,pair,youneutral,RG_incongruent
rhomboid,octagon,287,0,pair,friendhappy,RG_incongruent
triangle,,337,1,single,you,RG_incongruent
rhomboid,octagon,448,1,pair,friendhappy,RG_incongruent
octagon,,516,1,single,happy,RG_incongruent
octagon,,344,1,single,happy,RG_incongruent
triangle,diamond,452,1,pair,youneutral,RG_incongruent
triangle,diamond,378,1,pair,youneutral,RG_incongruent
octagon,,500,1,single,happy,RG_incongruent
diamond,,708,1,single,neutral,RG_incongruent
rhomboid,,526,1,single,friend,RG_incongruent
triangle,,417,1,single,you,RG_incongruent
triangle,diamond,420,1,pair,youneutral,RG_incongruent
octagon,,328,1,single,happy,RG_incongruent
diamond,,417,1,single,neutral,RG_incongruent
octagon,,424,1,single,happy,RG_incongruent
triangle,,276,1,single,you,RG_incongruent
octagon,rhomboid,369,1,pair,friendhappy,RG_incongruent
diamond,,311,1,single,neutral,RG_incongruent
rhomboid,,370,1,single,friend,RG_incongruent
triangle,,318,1,single,you,RG_incongruent
octagon,rhomboid,345,1,pair,friendhappy,RG_incongruent
triangle,,382,1,single,you,RG_incongruent
diamond,,516,1,single,neutral,RG_incongruent
diamond,triangle,408,0,pair,youneutral,RG_incongruent
rhomboid,,522,1,single,friend,RG_incongruent
triangle,,498,1,single,you,RG_incongruent
octagon,rhomboid,447,1,pair,friendhappy,RG_incongruent
octagon,,535,1,single,happy,RG_incongruent
rhomboid,,536,1,single,friend,RG_incongruent
diamond,triangle,400,1,pair,youneutral,RG_incongruent
octagon,,360,1,single,happy,RG_incongruent
rhomboid,,285,1,single,friend,RG_incongruent
rhomboid,,306,1,single,friend,RG_incongruent
diamond,,369,0,single,neutral,RG_incongruent
rhomboid,octagon,437,1,pair,friendhappy,RG_incongruent
triangle,diamond,339,1,pair,youneutral,RG_incongruent
diamond,,429,1,single,neutral,RG_incongruent
rhomboid,,300,1,single,friend,RG_incongruent
octagon,,554,0,single,happy,RG_incongruent
octagon,rhomboid,473,1,pair,friendhappy,RG_incongruent
octagon,,360,1,single,happy,RG_incongruent
diamond,,315,0,single,neutral,RG_incongruent
diamond,,332,0,single,neutral,RG_incongruent
triangle,,338,1,single,you,RG_incongruent
diamond,,444,1,single,neutral,RG_incongruent
triangle,diamond,344,1,pair,youneutral,RG_incongruent
triangle,diamond,325,1,pair,youneutral,RG_incongruent
rhomboid,octagon,423,1,pair,friendhappy,RG_incongruent
rhomboid,,465,1,single,friend,RG_incongruent
triangle,,477,1,single,you,RG_incongruent
rhomboid,,668,1,single,friend,RG_incongruent
triangle,,376,1,single,you,RG_incongruent
octagon,,414,1,single,happy,RG_incongruent
rhomboid,,465,1,single,friend,RG_incongruent
triangle,diamond,288,1,pair,youneutral,RG_incongruent
rhomboid,,328,0,single,friend,RG_incongruent
diamond,,530,1,single,neutral,RG_incongruent
triangle,,465,0,single,you,RG_incongruent
triangle,,738,1,single,you,RG_incongruent
octagon,,461,1,single,happy,RG_incongruent
triangle,,415,1,single,you,RG_incongruent
octagon,,567,1,single,happy,RG_incongruent
diamond,,459,1,single,neutral,RG_incongruent
octagon,,479,1,single,happy,RG_incongruent
rhomboid,octagon,623,1,pair,friendhappy,RG_incongruent
triangle,diamond,356,1,pair,youneutral,RG_incongruent
diamond,triangle,569,1,pair,youneutral,RG_incongruent
octagon,,506,1,single,happy,RG_incongruent
octagon,rhomboid,410,1,pair,friendhappy,RG_incongruent
rhomboid,octagon,270,1,pair,friendhappy,RG_incongruent
diamond,triangle,376,1,pair,youneutral,RG_incongruent
rhomboid,octagon,339,1,pair,friendhappy,RG_incongruent
diamond,triangle,350,0,pair,youneutral,RG_incongruent
diamond,,399,1,single,neutral,RG_incongruent
triangle,,359,1,single,you,RG_incongruent
triangle,,303,1,single,you,RG_incongruent
rhomboid,,308,0,single,friend,RG_incongruent
octagon,,636,1,single,happy,RG_incongruent
triangle,,327,1,single,you,RG_incongruent
triangle,diamond,444,1,pair,youneutral,RG_incongruent
octagon,rhomboid,281,1,pair,friendhappy,RG_incongruent
octagon,rhomboid,452,1,pair,friendhappy,RG_incongruent
diamond,,455,1,single,neutral,RG_incongruent
diamond,,289,1,single,neutral,RG_incongruent
diamond,,321,0,single,neutral,RG_incongruent
diamond,,308,1,single,neutral,RG_incongruent
octagon,,433,0,single,happy,RG_incongruent
rhomboid,,488,0,single,friend,RG_incongruent
rhomboid,,582,1,single,friend,RG_incongruent
rhomboid,,268,1,single,friend,RG_incongruent
rhomboid,octagon,445,1,pair,friendhappy,RG_incongruent
rhomboid,octagon,341,1,pair,friendhappy,RG_incongruent
rhomboid,,352,0,single,friend,RG_incongruent
rhomboid,,372,1,single,friend,RG_incongruent
diamond,,518,1,single,neutral,RG_incongruent
diamond,triangle,580,1,pair,youneutral,RG_incongruent
octagon,,445,1,single,happy,RG_incongruent
diamond,,455,1,single,neutral,RG_incongruent
triangle,,429,0,single,you,RG_incongruent
rhomboid,,1018,1,single,friend,RG_incongruent
triangle,,460,1,single,you,RG_incongruent
octagon,rhomboid,628,1,pair,friendhappy,RG_incongruent
