Unnamed: 0,subjectGroup,subject,age,sex,education,handedness,TaskName,BlockNumber,stimPos,stim1,stim2,shape,MATCHkey,RT,correct,response,condition,TaskType,Association
76,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,465,1.0,k,pair,RG_incongruent,neutralyou
77,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,diamond,,neutral,Yneutral_k,417,1.0,k,single,RG_incongruent,neutral
78,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,rhomboid,,friend,Yneutral_k,364,1.0,j,single,RG_incongruent,friend
79,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,triangle,,you,Yneutral_k,332,1.0,k,single,RG_incongruent,you
80,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,rhomboid,,friend,Yneutral_k,297,1.0,j,single,RG_incongruent,friend
81,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,triangle,,you,Yneutral_k,297,1.0,k,single,RG_incongruent,you
82,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,octagon,,happy,Yneutral_k,281,1.0,j,single,RG_incongruent,happy
83,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,triangle,,you,Yneutral_k,411,1.0,k,single,RG_incongruent,you
84,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,524,1.0,j,pair,RG_incongruent,happyfriend
85,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,octagon,,happy,Yneutral_k,392,1.0,j,single,RG_incongruent,happy
86,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,482,0.0,k,pair,RG_incongruent,happyfriend
87,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,diamond,,neutral,Yneutral_k,353,1.0,k,single,RG_incongruent,neutral
88,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,541,1.0,k,pair,RG_incongruent,neutralyou
89,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,triangle,,you,Yneutral_k,386,0.0,j,single,RG_incongruent,you
90,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,rhomboid,octagon,friendhappy,Yneutral_k,461,1.0,j,pair,RG_incongruent,friendhappy
91,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,rhomboid,,friend,Yneutral_k,555,1.0,j,single,RG_incongruent,friend
92,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,diamond,triangle,neutralyou,Yneutral_k,410,1.0,k,pair,RG_incongruent,neutralyou
93,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,477,1.0,j,pair,RG_incongruent,happyfriend
94,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400,triangle,,you,Yneutral_k,305,1.0,k,single,RG_incongruent,you
95,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,diamond,,neutral,Yneutral_k,408,1.0,k,single,RG_incongruent,neutral
96,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,rhomboid,,friend,Yneutral_k,367,1.0,j,single,RG_incongruent,friend
97,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,400; -400,octagon,rhomboid,happyfriend,Yneutral_k,405,1.0,j,pair,RG_incongruent,happyfriend
98,4,1,19,female,College or Technical school,right-handed,RG1_YN,1.0,-400,triangle,,you,Yneutral_k,294,0.0,j,single,RG_incongruent,you
